110,Link
62,Link
115,Link
29,Link
220,Link
78,Link
361,Reject denial
78,Link
44,Link
394,Reject denial
42,Link
37,Link
37,Link
408,Link
42,Link
37,Link
37,Link
452,Link
474,Link
511,Link
7,No link
511,Link
31,Link
7,No link
78,Link
364,Denial
661,Link
614,Link
229,Link
28,Link
28,Link
0,
0,
22,Link
25,Link
44,Link
36,Link
44,Link
36,Link
22,Link
31,Link
87,Reject denial
95,Link
99,Link
104,Link
0,Link
51,Link
29,Link
29,Link
120,Link
44,Link
136,Reject denial
138,Link
140,Reject link
150,Link
78,Link
78,Link
111,Link
77,Link
196,Link
25,Link
78,Link
150,Link
91,Link
241,Reject link
241,Reject link
241,Reject link
241,Reject link
167,Link
150,Link
150,Link
196,Link
272,Link
150,Link
272,Link
277,Link
143,Link
256,Link
78,Link
15,Link
62,Link
97,Reject link
327,Link
277,Link
332,Link
333,Link
78,Link
78,Link
78,Link
15,Link
78,Link
369,Link
28,Link
25,Reject denial
78,Link
78,Link
330,Link
78,Link
25,Reject denial
347,Link
28,Link
250,Link
347,Link
15,Link
28,Link
77,Link
387,Denial
36,Link
138,Link
241,Reject link
138,Link
583,Link
78,Link
499,Link
602,Link
610,Link
78,Link
80,Link
78,Link
174,Link
31,Link
78,Link
28,Link
28,Link
823,Link
469,Link
828,Reject denial
415,Link
641,Link
78,Link
12,Link
78,Link
114,Link
36,Reject denial
78,Link
78,Link
682,N/A
377,Link
78,Reject denial
29,Link
29,Link
78,Reject denial
29,Link
91,Link
293,Link
745,Link
29,Link
28,Link
78,Link
174,Link
745,Link
645,Link
174,Link
63,Link
0,
41,Reject link
77,Link
78,Link
160,Link
13,Link
77,Reject link
149,Reject link
239,Reject denial
257,Link
340,Reject link
78,Link
367,Link
342,Link
31,Reject denial
397,Link
126,Link
449,Link
151,Link
40,Link
40,Link
247,N/A
167,N/A
247,N/A
435,Link
8,Link
8,Link
121,Link
721,Link
378,Link
17,Link
265,N/A
740,Link
740,Link
0,
0,Reject denial
33,Reject denial
73,Link
0,Reject denial
86,Link
33,Reject denial
13,Link
124,Denial
146,Link
163,N/A
78,Link
78,Link
182,Denial
13,Link
205,Link
94,Reject link
205,Link
252,Link
163,Link
205,Link
78,Link
203,Reject denial
0,
270,Link
80,Link
380,Link
265,Link
127,Reject denial
392,Link
127,Reject denial
31,Reject denial
392,Link
149,Link
0,
149,Link
49,No link
488,Denial
488,Denial
525,Denial
529,Denial
488,Denial
488,Denial
360,Link
360,Link
63,Link
78,Link
360,Link
360,Link
613,Link
13,Link
809,No link
786,Link
404,Reject denial
13,Link
679,Link
720,Link
62,Link
62,Link
739,Link
225,Link
720,Link
62,Link
163,Link
225,Link
737,Link
786,Link
257,Link
265,Link
78,Link
321,Reject link
78,Link
735,Link
995,Link
1011,Reject link
1012,Link
15,Link
28,Link
15,Link
357,Link
70,Reject link
109,Link
