Name,vp_name,ep_name,Directed,N,E,Community Size-SBM,Community Size-SBM_DC,Community Size-Louvain,Community Size-Infomap,Community Size-Spectral,Community Size-DNGR,Community Eligible Size-SBM,Community Eligible Size-SBM_DC,Community Eligible Size-Louvain,Community Eligible Size-Infomap,Community Eligible Size-Spectral,Community Eligible Size-DNGR,Description Length-SBM,Description Length-SBM_DC,Description Length-Louvain,Description Length-Infomap,Description Length-Spectral,Description Length-DNGR,Modularity-SBM,Modularity-SBM_DC,Modularity-Louvain,Modularity-Infomap,Modularity-Spectral,Modularity-DNGR,Interaction Fraction-SBM,Interaction Fraction-SBM_DC,Interaction Fraction-Louvain,Interaction Fraction-Infomap,Interaction Fraction-Spectral,Interaction Fraction-DNGR,Interaction Fraction All-SBM,Interaction Fraction All-SBM_DC,Interaction Fraction All-Louvain,Interaction Fraction All-Infomap,Interaction Fraction All-Spectral,Interaction Fraction All-DNGR
faculty_hiring_usdomain_natural_sciences,title,total,True,2142,30381,35,18,7,4,2,10,22,17,7,2,2,10,77545.49360888464,82145.18415032278,84735.25640032678,82313.53687190349,82856.37126255751,86700.32049572327,-0.0026124041869046515,-0.0003519924677104734,0.13036886646639168,0.000285227815484308,0.10230500165427149,0.015770592615890807,"{'Assortative': 0.16883116883116883, 'Core-Periphery': 0.42424242424242425, 'Source-Basin': 0.4069264069264069}","{'Assortative': 0.27205882352941174, 'Core-Periphery': 0.4338235294117647, 'Source-Basin': 0.29411764705882354}","{'Assortative': 0.8571428571428571, 'Core-Periphery': 0.14285714285714285}",{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.17777777777777778, 'Core-Periphery': 0.35555555555555557, 'Source-Basin': 0.4666666666666667}","{'D-A1': 0.09523809523809523, 'D-A2': 0.0735930735930736, 'D-C1': 0.17316017316017315, 'D-C2': 0.24242424242424243, 'D-C3': 0.004329004329004329, 'D-C4': 0.004329004329004329, 'D-D4': 0.047619047619047616, 'D-D5': 0.2943722943722944, 'D-D6': 0.06493506493506493}","{'D-A1': 0.058823529411764705, 'D-A2': 0.21323529411764705, 'D-C1': 0.1323529411764706, 'D-C2': 0.27941176470588236, 'D-C4': 0.022058823529411766, 'D-D3': 0.007352941176470588, 'D-D5': 0.20588235294117646, 'D-D6': 0.08088235294117647}","{'D-A1': 0.47619047619047616, 'D-A2': 0.38095238095238093, 'D-C2': 0.14285714285714285}",{'D-A1': 1.0},{'D-A2': 1.0},"{'D-A1': 0.08888888888888889, 'D-A2': 0.08888888888888889, 'D-C1': 0.24444444444444444, 'D-C2': 0.1111111111111111, 'D-D4': 0.022222222222222223, 'D-D5': 0.3111111111111111, 'D-D6': 0.13333333333333333}"
faculty_hiringbusiness,title,,True,113,8539,19,10,3,10,1,10,9,7,3,1,1,6,9774.928993621963,10118.06881893532,11088.401450158335,11844.537995428207,11319.949593367479,11449.171391892038,0.0126682030091121,0.05009133494710418,0.09744007449427028,0.0021382803288397915,0.0,0.041747151449948665,"{'Assortative': 0.05555555555555555, 'Core-Periphery': 0.8055555555555556, 'Source-Basin': 0.1388888888888889}","{'Assortative': 0.6190476190476191, 'Core-Periphery': 0.3333333333333333, 'Source-Basin': 0.047619047619047616}","{'Assortative': 0.3333333333333333, 'Core-Periphery': 0.6666666666666666}",0,0,"{'Core-Periphery': 0.8, 'Source-Basin': 0.2}","{'D-A1': 0.027777777777777776, 'D-A2': 0.027777777777777776, 'D-C1': 0.08333333333333333, 'D-C2': 0.6111111111111112, 'D-C3': 0.027777777777777776, 'D-C4': 0.08333333333333333, 'D-D6': 0.1388888888888889}","{'D-A1': 0.42857142857142855, 'D-A2': 0.19047619047619047, 'D-C2': 0.23809523809523808, 'D-C4': 0.09523809523809523, 'D-D3': 0.047619047619047616}","{'D-A1': 0.3333333333333333, 'D-C2': 0.6666666666666666}",0,0,"{'D-C1': 0.06666666666666667, 'D-C2': 0.4666666666666667, 'D-C3': 0.26666666666666666, 'D-D3': 0.13333333333333333, 'D-D6': 0.06666666666666667}"
faculty_hiringcomputer_science,title,,True,206,4633,14,9,5,34,2,10,10,8,5,9,2,10,9451.991121068648,10528.268683255777,11243.221500662945,13349.005082655824,11082.854285203794,11694.044327372061,0.033458285139329684,0.067675512915721,0.17105210244361813,0.11378847589141956,0.07123127165378973,0.04679870395770344,"{'Assortative': 0.3333333333333333, 'Core-Periphery': 0.6, 'Source-Basin': 0.06666666666666667}","{'Assortative': 0.5, 'Core-Periphery': 0.5}",{'Assortative': 1.0},"{'Assortative': 0.9722222222222222, 'Core-Periphery': 0.027777777777777776}",{'Assortative': 1.0},"{'Assortative': 0.3333333333333333, 'Core-Periphery': 0.5555555555555556, 'Source-Basin': 0.1111111111111111}","{'D-A1': 0.1111111111111111, 'D-A2': 0.2222222222222222, 'D-C1': 0.06666666666666667, 'D-C2': 0.4888888888888889, 'D-C4': 0.044444444444444446, 'D-D3': 0.022222222222222223, 'D-D6': 0.044444444444444446}","{'D-A1': 0.17857142857142858, 'D-A2': 0.32142857142857145, 'D-C2': 0.42857142857142855, 'D-C4': 0.07142857142857142}","{'D-A1': 0.1, 'D-A2': 0.9}","{'D-A1': 0.3055555555555556, 'D-A2': 0.6666666666666666, 'D-C2': 0.027777777777777776}",{'D-A1': 1.0},"{'D-A1': 0.13333333333333333, 'D-A2': 0.2, 'D-C1': 0.08888888888888889, 'D-C2': 0.3333333333333333, 'D-C4': 0.13333333333333333, 'D-D3': 0.044444444444444446, 'D-D5': 0.022222222222222223, 'D-D6': 0.044444444444444446}"
faculty_hiringhistory,title,,True,145,4347,10,5,5,24,1,10,5,4,5,4,1,8,6793.814805038859,7613.131039625863,8052.905452575423,9416.345382440428,7811.4204388935905,8229.36856807373,-0.005105184163886996,0.017670864895820045,0.09860302918450044,0.035346479431345994,0.0,0.00021593897662903263,"{'Core-Periphery': 0.9, 'Source-Basin': 0.1}",{'Core-Periphery': 1.0},"{'Assortative': 0.6, 'Core-Periphery': 0.4}","{'Assortative': 0.6666666666666666, 'Core-Periphery': 0.3333333333333333}",0,"{'Core-Periphery': 0.8214285714285714, 'Disassortative': 0.03571428571428571, 'Source-Basin': 0.14285714285714285}","{'D-C1': 0.2, 'D-C2': 0.3, 'D-C4': 0.4, 'D-D3': 0.1}","{'D-C2': 0.8333333333333334, 'D-C4': 0.16666666666666666}","{'D-A1': 0.1, 'D-A2': 0.5, 'D-C2': 0.4}","{'D-A2': 0.6666666666666666, 'D-C2': 0.3333333333333333}",0,"{'D-C1': 0.2857142857142857, 'D-C2': 0.32142857142857145, 'D-C3': 0.07142857142857142, 'D-C4': 0.14285714285714285, 'D-D1': 0.03571428571428571, 'D-D3': 0.03571428571428571, 'D-D5': 0.07142857142857142, 'D-D6': 0.03571428571428571}"
un_migrations,title,migration_2015_total,True,232,11228,231,227,9,17,80,10,0,0,6,10,6,10,30885.265777376484,30632.898355839614,21542.688802047316,21422.29015431073,29570.222078339993,20811.33644962415,-0.012069078115146332,-0.01210376391111963,0.5172267943369822,0.530926350546922,0.18004053897383807,0.2862157317902544,0,0,{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.7333333333333333, 'Source-Basin': 0.26666666666666666}","{'Assortative': 0.7777777777777778, 'Core-Periphery': 0.08888888888888889, 'Source-Basin': 0.13333333333333333}",0,0,"{'D-A1': 0.26666666666666666, 'D-A2': 0.7333333333333333}","{'D-A1': 0.4222222222222222, 'D-A2': 0.5777777777777777}","{'D-A1': 0.2, 'D-A2': 0.5333333333333333, 'D-D5': 0.2, 'D-D6': 0.06666666666666667}","{'D-A1': 0.35555555555555557, 'D-A2': 0.4222222222222222, 'D-C1': 0.022222222222222223, 'D-C2': 0.044444444444444446, 'D-C4': 0.022222222222222223, 'D-D4': 0.022222222222222223, 'D-D5': 0.044444444444444446, 'D-D6': 0.06666666666666667}"
