Name,vp_name,ep_name,Directed,N,E,Community Size-SBM,Community Size-SBM_DC,Community Size-Louvain,Community Size-Infomap,Community Size-Spectral,Community Size-DNGR,Community Eligible Size-SBM,Community Eligible Size-SBM_DC,Community Eligible Size-Louvain,Community Eligible Size-Infomap,Community Eligible Size-Spectral,Community Eligible Size-DNGR,Description Length-SBM,Description Length-SBM_DC,Description Length-Louvain,Description Length-Infomap,Description Length-Spectral,Description Length-DNGR,Modularity-SBM,Modularity-SBM_DC,Modularity-Louvain,Modularity-Infomap,Modularity-Spectral,Modularity-DNGR,Interaction Fraction-SBM,Interaction Fraction-SBM_DC,Interaction Fraction-Louvain,Interaction Fraction-Infomap,Interaction Fraction-Spectral,Interaction Fraction-DNGR,Interaction Fraction All-SBM,Interaction Fraction All-SBM_DC,Interaction Fraction All-Louvain,Interaction Fraction All-Infomap,Interaction Fraction All-Spectral,Interaction Fraction All-DNGR
caida_as20070917,title,,True,8020,36406,60,45,41,468,2,10,44,41,31,245,2,10,135261.21545602582,157708.60042515362,176093.0209080274,249290.76398728715,188126.56606585445,182729.02506280976,-0.006944111944447107,-0.007471864826452626,0.5404128458323861,0.4950015317525641,0.033930763057895275,0.3962829514405148,"{'Assortative': 0.7251585623678647, 'Core-Periphery': 0.02959830866807611, 'Disassortative': 0.05919661733615222, 'Source-Basin': 0.18604651162790697}","{'Assortative': 0.7292682926829268, 'Core-Periphery': 0.020731707317073172, 'Disassortative': 0.054878048780487805, 'Source-Basin': 0.1951219512195122}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'D-A1': 0.5655391120507399, 'D-A2': 0.15961945031712474, 'D-C1': 0.02959830866807611, 'D-D1': 0.03382663847780127, 'D-D2': 0.02536997885835095, 'D-D5': 0.18604651162790697}","{'D-A1': 0.5365853658536586, 'D-A2': 0.1926829268292683, 'D-C1': 0.020731707317073172, 'D-D1': 0.03170731707317073, 'D-D2': 0.023170731707317073, 'D-D5': 0.1951219512195122}","{'D-A1': 0.25591397849462366, 'D-A2': 0.7440860215053764}","{'D-A1': 0.42967547674807627, 'D-A2': 0.5703245232519237}",{'D-A2': 1.0},"{'D-A1': 0.7333333333333333, 'D-A2': 0.26666666666666666}"
gnutella04,title,,True,10876,39994,6,10,21,1112,21,10,6,10,21,917,21,10,288059.04858244007,313746.0293871409,326932.8751097409,404484.15535435954,327590.38656256325,327053.95246529253,0.01258555975975281,0.0013091883520488425,0.38241105221141475,0.2554965000763519,0.25958751291315485,0.03800752890350165,"{'Core-Periphery': 0.26666666666666666, 'Source-Basin': 0.7333333333333333}","{'Assortative': 0.24444444444444444, 'Core-Periphery': 0.4222222222222222, 'Source-Basin': 0.3333333333333333}",{'Assortative': 1.0},{'Assortative': 1.0},"{'Assortative': 0.9047619047619048, 'Core-Periphery': 0.009523809523809525, 'Source-Basin': 0.08571428571428572}","{'Assortative': 0.4666666666666667, 'Core-Periphery': 0.2, 'Source-Basin': 0.3333333333333333}","{'D-C2': 0.13333333333333333, 'D-C3': 0.06666666666666667, 'D-C4': 0.06666666666666667, 'D-D3': 0.3333333333333333, 'D-D5': 0.3333333333333333, 'D-D6': 0.06666666666666667}","{'D-A1': 0.13333333333333333, 'D-A2': 0.1111111111111111, 'D-C1': 0.044444444444444446, 'D-C2': 0.06666666666666667, 'D-C3': 0.17777777777777778, 'D-C4': 0.13333333333333333, 'D-D3': 0.044444444444444446, 'D-D4': 0.08888888888888889, 'D-D5': 0.2}","{'D-A1': 0.5142857142857142, 'D-A2': 0.4857142857142857}","{'D-A1': 0.4938509855090408, 'D-A2': 0.5061490144909592}","{'D-A1': 0.3476190476190476, 'D-A2': 0.5571428571428572, 'D-C1': 0.004761904761904762, 'D-C2': 0.004761904761904762, 'D-D5': 0.009523809523809525, 'D-D6': 0.0761904761904762}","{'D-A1': 0.37777777777777777, 'D-A2': 0.08888888888888889, 'D-C1': 0.022222222222222223, 'D-C2': 0.13333333333333333, 'D-C4': 0.044444444444444446, 'D-D5': 0.022222222222222223, 'D-D6': 0.3111111111111111}"
jung,title,,True,6120,138706,110,76,18,334,3,10,74,70,18,114,3,10,208280.19442010188,214244.13810988938,288171.2943633742,422273.0016663848,334382.43564866553,379427.26801311556,0.02468399562300873,0.03122152207552143,0.48267777503577086,0.39876991230932,0.3921751026752445,0.02237090185573383,"{'Assortative': 0.9192891521658645, 'Core-Periphery': 0.053313587560162905, 'Disassortative': 0.0022213994816734544, 'Source-Basin': 0.025175860792299148}","{'Assortative': 0.8621118012422361, 'Core-Periphery': 0.07080745341614907, 'Disassortative': 0.002898550724637681, 'Source-Basin': 0.06418219461697723}","{'Assortative': 0.954248366013072, 'Source-Basin': 0.0457516339869281}","{'Assortative': 0.9941002949852508, 'Core-Periphery': 0.0009315323707498836, 'Source-Basin': 0.004968172643999379}","{'Assortative': 0.6666666666666666, 'Source-Basin': 0.3333333333333333}","{'Assortative': 0.28888888888888886, 'Core-Periphery': 0.37777777777777777, 'Source-Basin': 0.3333333333333333}","{'D-A1': 0.5512773047019622, 'D-A2': 0.36801184746390225, 'D-C1': 0.008515364679748241, 'D-C2': 0.029248426508700482, 'D-C3': 0.00259163272861903, 'D-C4': 0.01295816364309515, 'D-D1': 0.0007404664938911515, 'D-D2': 0.001480932987782303, 'D-D3': 0.00518326545723806, 'D-D4': 0.0037023324694557573, 'D-D5': 0.004442798963346909, 'D-D6': 0.011847463902258423}","{'D-A1': 0.5213250517598343, 'D-A2': 0.3407867494824017, 'D-C1': 0.018633540372670808, 'D-C2': 0.037267080745341616, 'D-C3': 0.002070393374741201, 'D-C4': 0.012836438923395446, 'D-D1': 0.0008281573498964803, 'D-D2': 0.002070393374741201, 'D-D3': 0.011180124223602485, 'D-D4': 0.002484472049689441, 'D-D5': 0.030227743271221533, 'D-D6': 0.020289855072463767}","{'D-A1': 0.4444444444444444, 'D-A2': 0.5098039215686274, 'D-D6': 0.0457516339869281}","{'D-A1': 0.6303369042074212, 'D-A2': 0.36376339077782954, 'D-C2': 0.0007762769756249029, 'D-C4': 0.0001552553951249806, 'D-D3': 0.0001552553951249806, 'D-D6': 0.004812917248874398}","{'D-A1': 0.6666666666666666, 'D-D6': 0.3333333333333333}","{'D-A1': 0.17777777777777778, 'D-A2': 0.1111111111111111, 'D-C1': 0.2222222222222222, 'D-C2': 0.1111111111111111, 'D-C4': 0.044444444444444446, 'D-D3': 0.06666666666666667, 'D-D5': 0.06666666666666667, 'D-D6': 0.2}"
power,title,,False,4941,6594,15,17,40,417,53,10,15,17,40,377,53,10,44424.80098915508,53318.76732060083,53815.566501633206,74087.01016034206,55367.335175538654,56945.11553616149,0.44320518584325297,0.4230039988191579,0.9362620235728677,0.833444853728203,0.9186011855889797,0.6075389166850426,"{'Assortative': 0.9428571428571428, 'Core-Periphery': 0.047619047619047616, 'Disassortative': 0.009523809523809525}","{'Assortative': 0.8602941176470589, 'Core-Periphery': 0.11764705882352941, 'Disassortative': 0.022058823529411766}",{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},{'Assortative': 1.0},"{'U-A1': 0.9428571428571428, 'U-C1': 0.047619047619047616, 'U-D1': 0.009523809523809525}","{'U-A1': 0.8602941176470589, 'U-C1': 0.11764705882352941, 'U-D1': 0.022058823529411766}",{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0},{'U-A1': 1.0}
route_views19971108,title,,False,3015,5156,21,17,25,239,1,10,15,14,25,147,1,10,23927.590844777158,27806.703788672497,36162.55994311998,47535.777033985214,28089.55386967137,30425.686791763124,0.0034933165154096397,0.008094315389333003,0.19862734205586327,0.16875847491545387,0.0,0.45986578336957523,"{'Assortative': 0.8, 'Core-Periphery': 0.2}","{'Assortative': 0.8791208791208791, 'Core-Periphery': 0.10989010989010989, 'Disassortative': 0.01098901098901099}","{'Assortative': 0.9533333333333334, 'Core-Periphery': 0.04, 'Disassortative': 0.006666666666666667}","{'Assortative': 0.9333706085173795, 'Core-Periphery': 0.05740378343118069, 'Disassortative': 0.009225608051439753}",0,{'Assortative': 1.0},"{'U-A1': 0.8, 'U-C1': 0.2}","{'U-A1': 0.8791208791208791, 'U-C1': 0.10989010989010989, 'U-D1': 0.01098901098901099}","{'U-A1': 0.9533333333333334, 'U-C1': 0.04, 'U-D1': 0.006666666666666667}","{'U-A1': 0.9333706085173795, 'U-C1': 0.05740378343118069, 'U-D1': 0.009225608051439753}",0,{'U-A1': 1.0}
software_dependenciesjdk,title,,True,6434,150985,107,74,16,338,4,10,70,67,16,136,4,10,316974.9253933402,331817.0039685192,305420.76548307244,432233.6686457975,353536.4047333284,410991.50115544425,0.0382778457889193,0.03816615289346433,0.5014424388828954,0.3312197864339426,0.41869072221375775,0.07709264933235623,"{'Assortative': 0.7979296066252588, 'Core-Periphery': 0.13250517598343686, 'Disassortative': 0.006625258799171843, 'Source-Basin': 0.0629399585921325}","{'Assortative': 0.6928991406603346, 'Core-Periphery': 0.1863410221619177, 'Disassortative': 0.008593396653098146, 'Source-Basin': 0.11216644052464948}","{'Assortative': 0.9416666666666667, 'Source-Basin': 0.058333333333333334}","{'Assortative': 0.9845315904139433, 'Core-Periphery': 0.006318082788671024, 'Source-Basin': 0.009150326797385621}","{'Assortative': 0.6666666666666666, 'Source-Basin': 0.3333333333333333}","{'Assortative': 0.2, 'Core-Periphery': 0.24444444444444444, 'Source-Basin': 0.5555555555555556}","{'D-A1': 0.4244306418219462, 'D-A2': 0.3734989648033126, 'D-C1': 0.028157349896480333, 'D-C2': 0.0650103519668737, 'D-C3': 0.009109730848861283, 'D-C4': 0.030227743271221533, 'D-D1': 0.0012422360248447205, 'D-D2': 0.005383022774327122, 'D-D3': 0.008281573498964804, 'D-D4': 0.015734989648033125, 'D-D5': 0.026915113871635612, 'D-D6': 0.012008281573498964}","{'D-A1': 0.3175033921302578, 'D-A2': 0.3753957485300769, 'D-C1': 0.03573043871551334, 'D-C2': 0.0814111261872456, 'D-C3': 0.009045680687471733, 'D-C4': 0.060153776571687016, 'D-D1': 0.007236544549977386, 'D-D2': 0.0013568521031207597, 'D-D3': 0.004070556309362279, 'D-D4': 0.0438715513342379, 'D-D5': 0.046585255540479424, 'D-D6': 0.017639077340569877}","{'D-A1': 0.49166666666666664, 'D-A2': 0.45, 'D-D6': 0.058333333333333334}","{'D-A1': 0.5711328976034858, 'D-A2': 0.4133986928104575, 'D-C2': 0.003594771241830065, 'D-C4': 0.0027233115468409588, 'D-D3': 0.0010893246187363835, 'D-D6': 0.008061002178649237}","{'D-A1': 0.6666666666666666, 'D-D6': 0.3333333333333333}","{'D-A1': 0.06666666666666667, 'D-A2': 0.13333333333333333, 'D-C1': 0.022222222222222223, 'D-C2': 0.06666666666666667, 'D-C4': 0.15555555555555556, 'D-D3': 0.044444444444444446, 'D-D5': 0.022222222222222223, 'D-D6': 0.4888888888888889}"
